Student ID,Subject ID,Score
576089,1,7
576089,2,5.5
576089,3,6.75
576089,4,0.25
576089,5,0.25
576089,6,3.75
528193,1,8.75
528193,2,8.25
528193,3,9.25
528193,4,1.75
528193,5,5.75
528193,6,1.5
580365,1,4.5
580365,2,0.75
580365,3,4.25
580365,4,5.25
580365,5,6.75
580365,6,6.25
564255,1,5.5
564255,2,0.5
564255,3,1
564255,4,10
564255,5,6.5
564255,6,2.75
520075,1,3.25
520075,2,4.25
520075,3,4.75
520075,4,7.75
520075,5,1.5
520075,6,9.75
542492,1,0.5
542492,2,1
542492,3,5.75
542492,4,7.5
542492,5,6.5
542492,6,6
524985,1,9.25
524985,2,2.75
524985,3,1.25
524985,4,2.5
524985,5,8.5
524985,6,8.75
549335,1,9.25
549335,2,9.5
549335,3,10
549335,4,9.5
549335,5,9.75
549335,6,6.75
537267,1,9.75
537267,2,7.25
537267,3,8.5
537267,4,1
537267,5,1
537267,6,4.75
501854,1,9.5
501854,2,8.25
501854,3,3
501854,4,0.5
501854,5,8.75
501854,6,9.75
510079,1,6.25
510079,2,2.75
510079,3,9.75
510079,4,8.75
510079,5,5.75
510079,6,0.25
512776,1,5
512776,2,0.25
512776,3,6.25
512776,4,7.5
512776,5,0.5
512776,6,9.25
538679,1,5.25
538679,2,1.25
538679,3,8
538679,4,5.25
538679,5,9.75
538679,6,4.25
520969,1,5.75
520969,2,1
520969,3,9
520969,4,8.75
520969,5,1.25
520969,6,9
548125,1,3
548125,2,8
548125,3,2.75
548125,4,1.25
548125,5,8.5
548125,6,9.5
511111,1,6.75
511111,2,10
511111,3,1.5
511111,4,6.25
511111,5,4.75
511111,6,2
531468,1,0.25
531468,2,5.5
531468,3,7.5
531468,4,9.25
531468,5,3
531468,6,9.5
526730,1,5.5
526730,2,2
526730,3,2.5
526730,4,6
526730,5,2.75
526730,6,5.5
570635,1,6.25
570635,2,3.75
570635,3,4.75
570635,4,9
570635,5,1.5
570635,6,6.25
577601,1,1
577601,2,6.75
577601,3,0
577601,4,7.5
577601,5,4
577601,6,9.75
564035,1,1.5
564035,2,5.75
564035,3,7.5
564035,4,3.75
564035,5,2.75
564035,6,5
588700,1,6.75
588700,2,3.5
588700,3,1.75
588700,4,9.5
588700,5,0.25
588700,6,2.75
584305,1,5
584305,2,7
584305,3,6
584305,4,0.75
584305,5,3.75
584305,6,1.25
565517,1,8
565517,2,6.25
565517,3,2.25
565517,4,1.5
565517,5,2.75
565517,6,3.5
519927,1,6.75
519927,2,1
519927,3,6.75
519927,4,7.75
519927,5,3
519927,6,9.5
530784,1,9.25
530784,2,1
530784,3,6
530784,4,1.25
530784,5,4
530784,6,9.25
505275,1,0.75
505275,2,4.5
505275,3,6
505275,4,6.75
505275,5,6.25
505275,6,0.5
593903,1,3
593903,2,7.25
593903,3,2.5
593903,4,1
593903,5,3.75
593903,6,4.75
546550,1,1.75
546550,2,9.25
546550,3,4
546550,4,6.75
546550,5,8.5
546550,6,10
587060,1,2.25
587060,2,8.25
587060,3,6
587060,4,6.5
587060,5,9.5
587060,6,9
523603,1,8
523603,2,2.25
523603,3,7.5
523603,4,9.5
523603,5,3.25
523603,6,7
513458,1,2
513458,2,0.5
513458,3,9.75
513458,4,8.25
513458,5,6.75
513458,6,4.25
566130,1,8.25
566130,2,4.75
566130,3,8.75
566130,4,3.75
566130,5,6.5
566130,6,7
530367,1,5.5
530367,2,2.25
530367,3,5.25
530367,4,6.25
530367,5,4.25
530367,6,9
579073,1,8.5
579073,2,5.5
579073,3,8
579073,4,10
579073,5,5
579073,6,1.5
526982,1,8
526982,2,7.25
526982,3,0.25
526982,4,2.5
526982,5,8.25
526982,6,8
584028,1,0
584028,2,8.25
584028,3,3
584028,4,6.25
584028,5,6
584028,6,1.75
582871,1,5.75
582871,2,9.75
582871,3,9.75
582871,4,9.25
582871,5,0.25
582871,6,6.25
534507,1,3.5
534507,2,9
534507,3,9.5
534507,4,5.75
534507,5,1
534507,6,0
595991,1,4
595991,2,1.75
595991,3,8.5
595991,4,3.75
595991,5,0.25
595991,6,3.75
548642,1,7
548642,2,6
548642,3,0.5
548642,4,7.5
548642,5,8.75
548642,6,2.25
521158,1,4
521158,2,0.25
521158,3,8
521158,4,4.75
521158,5,4.25
521158,6,4.5
575011,1,4.5
575011,2,3.75
575011,3,8.5
575011,4,1
575011,5,0.5
575011,6,1
561950,1,4.25
561950,2,4.75
561950,3,9.25
561950,4,6.25
561950,5,7.75
561950,6,2
552459,1,0
552459,2,3.75
552459,3,7.5
552459,4,9
552459,5,9.5
552459,6,4.5
517369,1,9.25
517369,2,8
517369,3,5.75
517369,4,5.5
517369,5,9.75
517369,6,10
525067,1,8.5
525067,2,0.5
525067,3,1
525067,4,9
525067,5,5
525067,6,8.5
502844,1,3.25
502844,2,7.75
502844,3,6.5
502844,4,9
502844,5,6.25
502844,6,2
512737,1,5
512737,2,7
512737,3,4.5
512737,4,8
512737,5,6.25
512737,6,8
506800,1,8.25
506800,2,2.25
506800,3,0
506800,4,6.25
506800,5,3.5
506800,6,0.25
546075,1,2.5
546075,2,9.5
546075,3,5
546075,4,6.5
546075,5,9.25
546075,6,4
585363,1,3.25
585363,2,8.75
585363,3,2.25
585363,4,3.25
585363,5,9
585363,6,1.75
510998,1,10
510998,2,1.75
510998,3,4.75
510998,4,1.75
510998,5,3.5
510998,6,0.75
533003,1,4
533003,2,4.25
533003,3,6.5
533003,4,4.75
533003,5,0
533003,6,0.75
557536,1,4.25
557536,2,1
557536,3,3.75
557536,4,9.5
557536,5,3.25
557536,6,6.75
533712,1,0
533712,2,4
533712,3,5.75
533712,4,5.5
533712,5,4.25
533712,6,4.75
518035,1,6.5
518035,2,3.5
518035,3,9.5
518035,4,5.5
518035,5,1.25
518035,6,6.5
598898,1,7
598898,2,8
598898,3,4.75
598898,4,8.75
598898,5,3.75
598898,6,3.5
591189,1,7
591189,2,4.25
591189,3,6.5
591189,4,1.75
591189,5,3
591189,6,3.75
557516,1,4.5
557516,2,0.75
557516,3,4
557516,4,9
557516,5,5.25
557516,6,3.75
520103,1,8.5
520103,2,7.5
520103,3,0.5
520103,4,5.25
520103,5,0.5
520103,6,4.25
508522,1,6.25
508522,2,2
508522,3,0.5
508522,4,7.5
508522,5,4.25
508522,6,0.75
519238,1,0.25
519238,2,7.75
519238,3,8.75
519238,4,6.5
519238,5,1.5
519238,6,0.75
580547,1,5.5
580547,2,1.25
580547,3,4
580547,4,4.25
580547,5,5.5
580547,6,0.5
519359,1,9
519359,2,0
519359,3,1
519359,4,1.5
519359,5,7.5
519359,6,6.75
544782,1,4
544782,2,6.25
544782,3,9.75
544782,4,8.25
544782,5,4
544782,6,6.75
564309,1,6.75
564309,2,2.75
564309,3,7.25
564309,4,3
564309,5,1.5
564309,6,5.75
578785,1,5.5
578785,2,1
578785,3,9.5
578785,4,2.25
578785,5,6.25
578785,6,9.5
513804,1,9
513804,2,0.25
513804,3,8
513804,4,4.25
513804,5,0
513804,6,9.5
528365,1,5.75
528365,2,0
528365,3,4
528365,4,7.25
528365,5,5.5
528365,6,0.25
597163,1,1.5
597163,2,8.75
597163,3,8.25
597163,4,9
597163,5,5
597163,6,7.75
510706,1,3.75
510706,2,3.5
510706,3,1.25
510706,4,8.75
510706,5,5
510706,6,9
573553,1,4.25
573553,2,9.25
573553,3,2.75
573553,4,6.5
573553,5,9.25
573553,6,9.75
545691,1,1.75
545691,2,5.5
545691,3,4
545691,4,3
545691,5,0.5
545691,6,6.75
585380,1,7.75
585380,2,7.5
585380,3,5.5
585380,4,7.25
585380,5,5.25
585380,6,2
563332,1,9.5
563332,2,10
563332,3,4.5
563332,4,8.5
563332,5,2.25
563332,6,9.5
519230,1,5.25
519230,2,10
519230,3,0.25
519230,4,4
519230,5,9.5
519230,6,3
521447,1,10
521447,2,4.5
521447,3,1.75
521447,4,8.75
521447,5,9.25
521447,6,4.25
581940,1,7
581940,2,1.25
581940,3,2.75
581940,4,8.25
581940,5,8.75
581940,6,5.75
577474,1,6.25
577474,2,2.5
577474,3,5.5
577474,4,8.75
577474,5,5.5
577474,6,9.5
579484,1,7.5
579484,2,5.75
579484,3,7.25
579484,4,1.25
579484,5,6.75
579484,6,5.75
584761,1,4.25
584761,2,9.25
584761,3,1.75
584761,4,0.75
584761,5,2
584761,6,3
573610,1,9
573610,2,4
573610,3,0.5
573610,4,2.75
573610,5,9.75
573610,6,9.5
590130,1,3.75
590130,2,8.75
590130,3,5
590130,4,6.75
590130,5,8.5
590130,6,0.75
583554,1,6.5
583554,2,1.5
583554,3,5
583554,4,8.75
583554,5,4.75
583554,6,2.75
513864,1,5
513864,2,4.75
513864,3,3.5
513864,4,6.25
513864,5,3
513864,6,1
584944,1,6.25
584944,2,0.75
584944,3,5
584944,4,5
584944,5,1
584944,6,3.5
508204,1,6
508204,2,1.75
508204,3,5.75
508204,4,9.25
508204,5,3.25
508204,6,2.5
593729,1,4.75
593729,2,7.5
593729,3,3
593729,4,1.75
593729,5,7.75
593729,6,4.5
551268,1,3.5
551268,2,9.75
551268,3,10
551268,4,1.25
551268,5,3.5
551268,6,7.75
528128,1,2
528128,2,5
528128,3,3.25
528128,4,9.75
528128,5,2.5
528128,6,7.5
590287,1,5.5
590287,2,6.25
590287,3,9.75
590287,4,6.25
590287,5,1
590287,6,2.5
581235,1,8.5
581235,2,9
581235,3,9.5
581235,4,3
581235,5,9.5
581235,6,4.5
519616,1,6
519616,2,6.25
519616,3,6.75
519616,4,8.5
519616,5,9
519616,6,2.5
560624,1,1.75
560624,2,0
560624,3,3.75
560624,4,7.5
560624,5,0
560624,6,1
514750,1,7
514750,2,3
514750,3,0.5
514750,4,5
514750,5,0
514750,6,3
515401,1,2.5
515401,2,8.5
515401,3,5.25
515401,4,6
515401,5,2.5
515401,6,8
523609,1,5.5
523609,2,1.5
523609,3,8
523609,4,1
523609,5,2.25
523609,6,7.25
560601,1,8.25
560601,2,7
560601,3,5.75
560601,4,0.75
560601,5,3.75
560601,6,2.5
516513,1,1.75
516513,2,6
516513,3,8.25
516513,4,5.25
516513,5,1.75
516513,6,0.25
519098,1,4.75
519098,2,2.5
519098,3,4
519098,4,4
519098,5,8.75
519098,6,5.25
554919,1,1.5
554919,2,2.5
554919,3,3.25
554919,4,6
554919,5,7.5
554919,6,7
521495,1,3
521495,2,3.25
521495,3,6
521495,4,7.25
521495,5,9.25
521495,6,2.25
598144,1,5.5
598144,2,4.75
598144,3,6.25
598144,4,10
598144,5,0.75
598144,6,9.5
579099,1,1.75
579099,2,9.25
579099,3,1
579099,4,3.75
579099,5,8
579099,6,7.5
528283,1,2.25
528283,2,9.75
528283,3,2.5
528283,4,0.5
528283,5,7
528283,6,7.75
544250,1,2.75
544250,2,3
544250,3,0.25
544250,4,1
544250,5,8.25
544250,6,9.75
593945,1,0.5
593945,2,8
593945,3,4.5
593945,4,7
593945,5,10
593945,6,7.75
567804,1,9
567804,2,6
567804,3,2.5
567804,4,5.75
567804,5,0.75
567804,6,4.5
503342,1,2.75
503342,2,2.25
503342,3,1.5
503342,4,5.5
503342,5,8
503342,6,1.25
503739,1,9.5
503739,2,4.75
503739,3,6.25
503739,4,8.75
503739,5,3
503739,6,9
549878,1,0.5
549878,2,5
549878,3,8
549878,4,8.75
549878,5,6.5
549878,6,6
577166,1,3.25
577166,2,3
577166,3,6.75
577166,4,3.25
577166,5,9
577166,6,5
534270,1,3.75
534270,2,8.75
534270,3,4.75
534270,4,5
534270,5,8.75
534270,6,1.25
560093,1,0
560093,2,7.5
560093,3,1.5
560093,4,7.25
560093,5,7.75
560093,6,8.5
535922,1,6.5
535922,2,7.25
535922,3,3
535922,4,5.5
535922,5,4.5
535922,6,1
560076,1,0.5
560076,2,7
560076,3,7
560076,4,0.5
560076,5,6.5
560076,6,4.5
538812,1,5.25
538812,2,0.25
538812,3,0.5
538812,4,1
538812,5,8.75
538812,6,6.75
560486,1,10
560486,2,7.5
560486,3,4.75
560486,4,5.25
560486,5,4.75
560486,6,7.75
550451,1,6.5
550451,2,2.75
550451,3,8.25
550451,4,5.25
550451,5,8.25
550451,6,9.75
529436,1,3.5
529436,2,8.75
529436,3,6
529436,4,9.25
529436,5,6
529436,6,9
504350,1,8.5
504350,2,7.75
504350,3,3
504350,4,6.25
504350,5,3.5
504350,6,1
500266,1,9.75
500266,2,0.5
500266,3,0.25
500266,4,2.5
500266,5,9.25
500266,6,6.25
527499,1,1.5
527499,2,9.5
527499,3,8.75
527499,4,7.5
527499,5,4.75
527499,6,5.25
540883,1,5
540883,2,8.5
540883,3,1.5
540883,4,1.75
540883,5,1.25
540883,6,4.5
564371,1,5.25
564371,2,0.25
564371,3,4.75
564371,4,4
564371,5,1.5
564371,6,6
571369,1,5
571369,2,3.75
571369,3,9
571369,4,6
571369,5,5.25
571369,6,8
515795,1,4
515795,2,0.75
515795,3,9.5
515795,4,3.5
515795,5,4.5
515795,6,3.75
540856,1,2.5
540856,2,6.5
540856,3,8
540856,4,7.25
540856,5,4
540856,6,9
512225,1,2.75
512225,2,6.75
512225,3,7.5
512225,4,7.5
512225,5,1.75
512225,6,1
508832,1,9.5
508832,2,6
508832,3,9.75
508832,4,3.25
508832,5,5.25
508832,6,8.25
597369,1,2.5
597369,2,1.5
597369,3,9
597369,4,3.75
597369,5,0
597369,6,3.75
583706,1,4.5
583706,2,5.75
583706,3,8.75
583706,4,4.25
583706,5,8.5
583706,6,4
592349,1,6
592349,2,5.75
592349,3,3.75
592349,4,9.75
592349,5,4.75
592349,6,5
566892,1,4
566892,2,8.25
566892,3,10
566892,4,4.5
566892,5,2.75
566892,6,3.75
548459,1,8.25
548459,2,4
548459,3,5.75
548459,4,0.5
548459,5,2.5
548459,6,3
548970,1,0.5
548970,2,6
548970,3,9.5
548970,4,7.75
548970,5,2
548970,6,1
556227,1,5.75
556227,2,8.5
556227,3,8.5
556227,4,2.25
556227,5,7
556227,6,5.75
517608,1,8.75
517608,2,2.5
517608,3,0.25
517608,4,6
517608,5,1.25
517608,6,7.25
533364,1,1.25
533364,2,5
533364,3,6.5
533364,4,9
533364,5,6
533364,6,8.75
505807,1,1.5
505807,2,2.5
505807,3,7.5
505807,4,2.75
505807,5,3.25
505807,6,6
538751,1,6
538751,2,5.5
538751,3,3.5
538751,4,7.25
538751,5,1.75
538751,6,2.5
583539,1,7.75
583539,2,3.25
583539,3,6
583539,4,3
583539,5,9
583539,6,8.5
505252,1,4.5
505252,2,2
505252,3,8.75
505252,4,4.5
505252,5,9
505252,6,8.25
570263,1,5
570263,2,3.25
570263,3,2.25
570263,4,2.25
570263,5,4.5
570263,6,4.75
511086,1,2.25
511086,2,2.25
511086,3,3
511086,4,9
511086,5,7
511086,6,0.5
550394,1,4.5
550394,2,3.5
550394,3,6.25
550394,4,9.25
550394,5,7.25
550394,6,3
514566,1,0.75
514566,2,4.5
514566,3,9.25
514566,4,6.25
514566,5,6.75
514566,6,0
514409,1,5
514409,2,6
514409,3,6.75
514409,4,5.75
514409,5,6.75
514409,6,3.5
575046,1,1.75
575046,2,6.75
575046,3,3.25
575046,4,1.5
575046,5,2.25
575046,6,4.25
550368,1,8.5
550368,2,5.75
550368,3,0.5
550368,4,8
550368,5,3.25
550368,6,10
555829,1,8.25
555829,2,4.25
555829,3,8.5
555829,4,8.5
555829,5,9
555829,6,10
517973,1,4.25
517973,2,7.25
517973,3,4.75
517973,4,5.5
517973,5,9.25
517973,6,1.75
549793,1,2.75
549793,2,9
549793,3,3.25
549793,4,8.75
549793,5,0.25
549793,6,0.5
563628,1,8.75
563628,2,0.75
563628,3,5.25
563628,4,5.75
563628,5,7.5
563628,6,3.5
507534,1,2.5
507534,2,5.25
507534,3,10
507534,4,5.5
507534,5,7.25
507534,6,5
595235,1,8.75
595235,2,7.25
595235,3,0
595235,4,2.75
595235,5,7
595235,6,8.5
525889,1,0.75
525889,2,7.5
525889,3,4.25
525889,4,6
525889,5,3
525889,6,5.25
521167,1,2
521167,2,6.75
521167,3,3.5
521167,4,0.5
521167,5,1
521167,6,6.5
548013,1,6.75
548013,2,0.75
548013,3,6.25
548013,4,1.75
548013,5,9.75
548013,6,5.25
526533,1,3
526533,2,8.5
526533,3,9.25
526533,4,3.75
526533,5,3
526533,6,8
515643,1,3.75
515643,2,9.25
515643,3,8.5
515643,4,0.25
515643,5,6.25
515643,6,9.75
581784,1,7.25
581784,2,9.5
581784,3,3.25
581784,4,3
581784,5,5.5
581784,6,2.5
597778,1,7.75
597778,2,4.25
597778,3,1.5
597778,4,1.5
597778,5,3.25
597778,6,1.5
564515,1,1.75
564515,2,8.5
564515,3,3.75
564515,4,10
564515,5,1.5
564515,6,0
561577,1,6
561577,2,9.75
561577,3,8
561577,4,1.75
561577,5,3.5
561577,6,4
584212,1,4
584212,2,8
584212,3,4.75
584212,4,2.5
584212,5,1.25
584212,6,1
535460,1,2
535460,2,1.75
535460,3,9.75
535460,4,3
535460,5,1.5
535460,6,8.25
576705,1,1.75
576705,2,3.25
576705,3,0.75
576705,4,0
576705,5,10
576705,6,7
591151,1,2.25
591151,2,5.5
591151,3,7
591151,4,7
591151,5,5.75
591151,6,6.75
552208,1,5
552208,2,8.25
552208,3,1
552208,4,1.25
552208,5,5.25
552208,6,6.25
503267,1,10
503267,2,4.75
503267,3,6.5
503267,4,3.75
503267,5,9
503267,6,8.25
582903,1,4.25
582903,2,7.25
582903,3,3
582903,4,2.75
582903,5,9.25
582903,6,7.5
583640,1,6.25
583640,2,9.5
583640,3,5.25
583640,4,0
583640,5,5
583640,6,2.75
525993,1,2.75
525993,2,0.5
525993,3,9.75
525993,4,8
525993,5,2.25
525993,6,2.5
554182,1,5.5
554182,2,2
554182,3,3.5
554182,4,8.75
554182,5,2.5
554182,6,4.75
570437,1,8.75
570437,2,7.75
570437,3,8
570437,4,5.75
570437,5,7.25
570437,6,3
554167,1,9.5
554167,2,1.25
554167,3,7.25
554167,4,9.5
554167,5,7
554167,6,7.5
582868,1,6.75
582868,2,9.75
582868,3,4.5
582868,4,1.25
582868,5,0.75
582868,6,3
527839,1,4.25
527839,2,1.5
527839,3,1.25
527839,4,8.25
527839,5,2.25
527839,6,7
580579,1,9
580579,2,8.5
580579,3,7.25
580579,4,3
580579,5,5.75
580579,6,2.25
535805,1,3
535805,2,3
535805,3,8.75
535805,4,9.75
535805,5,4.5
535805,6,0
578498,1,0.75
578498,2,5.75
578498,3,7.25
578498,4,9.75
578498,5,5
578498,6,0.75
572496,1,1.25
572496,2,0
572496,3,9.5
572496,4,7.25
572496,5,0
572496,6,3.75
545396,1,7.75
545396,2,7.5
545396,3,0.5
545396,4,5.25
545396,5,9.75
545396,6,8
591178,1,8.25
591178,2,5.25
591178,3,4.75
591178,4,5.5
591178,5,1.25
591178,6,4.5
537586,1,3.75
537586,2,5.5
537586,3,4.25
537586,4,4
537586,5,4.25
537586,6,0
540167,1,3.75
540167,2,3.5
540167,3,2.75
540167,4,1
540167,5,5.5
540167,6,9.5
583147,1,1.75
583147,2,3
583147,3,8
583147,4,7.5
583147,5,7
583147,6,5.75
597714,1,8.25
597714,2,7.75
597714,3,9.75
597714,4,9
597714,5,1.25
597714,6,8.25
568335,1,1.25
568335,2,2.75
568335,3,5.5
568335,4,7
568335,5,9
568335,6,3
548407,1,3.25
548407,2,8
548407,3,4.75
548407,4,9.75
548407,5,6.5
548407,6,0.5
558578,1,8.5
558578,2,1.75
558578,3,3.25
558578,4,1.5
558578,5,4.25
558578,6,2.75
560625,1,7.5
560625,2,5.75
560625,3,8.75
560625,4,9.5
560625,5,7.5
560625,6,4
525304,1,1.25
525304,2,2
525304,3,8.25
525304,4,6.75
525304,5,2
525304,6,4.5
537536,1,1.25
537536,2,7
537536,3,3
537536,4,3.75
537536,5,8.75
537536,6,1
541018,1,5.75
541018,2,7.75
541018,3,6.25
541018,4,4.5
541018,5,2.25
541018,6,7
559855,1,7
559855,2,6.25
559855,3,3
559855,4,8
559855,5,0
559855,6,1.25
509037,1,3.25
509037,2,7.75
509037,3,6
509037,4,2.75
509037,5,6.5
509037,6,5
568989,1,3.5
568989,2,7.5
568989,3,5.75
568989,4,7.25
568989,5,9.5
568989,6,0